timestamp,temperature,humidity,latitude,longitude,speed_kmph,altitude,satellites,heading,current,battery_voltage,battery_percent
1789009671.7403483,30.0,52.0,1.458784,102.149834,0.07,3.9,7,232.3,-0.23,4.18,0.0
1789009672.7336757,30.0,52.0,1.458784,102.149834,0.63,3.5,7,232.3,-0.24,4.18,0.0
1789009673.7668009,30.0,52.0,1.458784,102.149834,1.06,3.2,7,232.3,-0.25,4.18,0.0
1789009674.7403624,30.0,52.0,1.458784,102.149834,1.43,2.9,7,232.3,-0.25,4.18,0.0
1789009675.756359,30.0,52.0,1.458772,102.149839,0.15,2.6,7,232.3,-0.21,4.18,0.0
1789009676.7520485,30.0,52.0,1.458772,102.149839,0.35,2.2,7,232.3,-0.27,4.18,0.0
1789009677.752117,30.0,52.0,1.458772,102.149839,0.17,1.8,7,232.3,-0.23,4.18,0.0
1789009678.7664557,30.0,52.0,1.458761,102.149842,0.76,1.5,7,232.3,-0.3,4.17,0.0
1789009679.7631097,30.0,52.0,1.458761,102.149842,0.56,1.1,7,232.3,-0.33,4.18,0.0
1789009680.7554774,30.0,52.0,1.458761,102.149842,0.07,0.8,7,232.3,-0.24,4.18,0.0
1789009681.7742755,30.0,52.0,1.458749,102.149845,0.2,0.4,7,232.3,-0.23,4.18,0.0
1789009682.7679849,30.0,52.0,1.458749,102.149845,0.04,-0.1,7,232.3,-0.27,4.19,0.0
1789009683.7844174,30.0,52.0,1.458749,102.149845,0.83,-0.6,7,232.3,-0.28,4.18,0.0
1789009684.7620173,30.0,52.0,1.458737,102.149848,1.0,-1.1,7,232.3,-0.23,4.18,0.0
1789009685.758406,30.0,52.0,1.458737,102.149848,1.13,-1.6,7,232.3,-0.24,4.19,0.0
